0 0 -0.000448797 -0.000448797
0.0526316 0 -0.000308158 -0.00123999
0.105263 0 -4.02037e-05 -0.00159781
0.157895 0 6.11582e-05 -0.00155393
0.210526 0 0.000106574 -0.00135289
0.263158 0 0.000107306 -0.000891175
0.315789 0 0.000133421 -0.000386588
0.368421 0 0.00015859 0.000215657
0.421053 0 0.000184582 0.000916971
0.473684 0 0.000212061 0.00172221
0.526316 0 0.000241214 0.00263757
0.578947 0 0.00027173 0.00366917
0.631579 0 0.00030249 0.00482083
0.684211 0 0.000331417 0.00609075
0.736842 0 0.000346451 0.0074644
0.789474 0 0.000479536 0.00916391
0.842105 0 0.000438704 0.0102563
0.894737 0 6.01199e-05 0.0109197
0.947368 0 -0.00162532 0.00936862
1 0 -0.00378136 0.00378136

0 0.0526316 -0.00141798 -0.000468344
0.0526316 0.0526316 -0.00159355 -0.00125577
0.105263 0.0526316 -0.00174007 -0.00158989
0.157895 0.0526316 -0.0018964 -0.00145319
0.210526 0.0526316 -0.00210931 -0.00114638
0.263158 0.0526316 -0.00243913 -0.000680587
0.315789 0.0526316 -0.00286768 -0.00013376
0.368421 0.0526316 -0.00336453 0.00050406
0.421053 0.0526316 -0.00392939 0.00123964
0.473684 0.0526316 -0.00456287 0.00208149
0.526316 0.0526316 -0.00526976 0.00303937
0.578947 0.0526316 -0.00605754 0.00412283
0.631579 0.0526316 -0.0069359 0.00533894
0.684211 0.0526316 -0.00791672 0.00668867
0.736842 0.0526316 -0.00901248 0.00816298
0.789474 0.0526316 -0.0102318 0.0097647
0.842105 0.0526316 -0.0116439 0.011136
0.894737 0.0526316 -0.0128632 0.0120094
0.947368 0.0526316 -0.0131595 0.00998866
1 0.0526316 -0.0113925 0.00344677

0 0.105263 -0.00222916 -0.000277535
0.0526316 0.105263 -0.00248496 -0.00102191
0.105263 0.105263 -0.00285999 -0.00131325
0.157895 0.105263 -0.00328441 -0.00111338
0.210526 0.105263 -0.00375412 -0.000693719
0.263158 0.105263 -0.00435422 -0.000135796
0.315789 0.105263 -0.00511087 0.000505779
0.368421 0.105263 -0.00596007 0.00123294
0.421053 0.105263 -0.00690946 0.00205624
0.473684 0.105263 -0.00795774 0.00298791
0.526316 0.105263 -0.00910694 0.00404029
0.578947 0.105263 -0.0103582 0.00522391
0.631579 0.105263 -0.0117085 0.0065446
0.684211 0.105263 -0.0131474 0.00799787
0.736842 0.105263 -0.0146329 0.00955709
0.789474 0.105263 -0.0161351 0.011144
0.842105 0.105263 -0.0175141 0.0123862
0.894737 0.105263 -0.0181121 0.0125306
0.947368 0.105263 -0.0175823 0.00934186
1 0.105263 -0.0162798 0.00116622

0 0.157895 -0.00282053 -0.000228246
0.0526316 0.157895 -0.00311102 -0.000628874
0.105263 0.157895 -0.00366778 -0.000793672
0.157895 0.157895 -0.00434359 -0.000512617
0.210526 0.157895 -0.00507133 5.33713e-06
0.263158 0.157895 -0.00592327 0.000667806
0.315789 0.157895 -0.00694713 0.00141855
0.368421 0.157895 -0.00805757 0.00225594
0.421053 0.157895 -0.00926837 0.00318966
0.473684 0.157895 -0.010575 0.0042313
0.526316 0.157895 -0.0119717 0.00539035
0.578947 0.157895 -0.0134451 0.00667073
0.631579 0.157895 -0.0149677 0.00806568
0.684211 0.157895 -0.0164907 0.00954717
0.736842 0.157895 -0.0179092 0.0110425
0.789474 0.157895 -0.0191419 0.012386
0.842105 0.157895 -0.0199863 0.0130778
0.894737 0.157895 -0.0198796 0.0122581
0.947368 0.157895 -0.018963 0.00831753
1 0.157895 -0.0180494 0.000438826

0 0.210526 -0.00331327 -0.000193403
0.0526316 0.210526 -0.00367526 -0.000198968
0.105263 0.210526 -0.0043501 -0.00014381
0.157895 0.210526 -0.00519969 0.000260166
0.210526 0.210526 -0.00612446 0.000877536
0.263158 0.210526 -0.00717316 0.00163389
0.315789 0.210526 -0.00838972 0.0024853
0.368421 0.210526 -0.00967107 0.0034275
0.421053 0.210526 -0.0110309 0.00446648
0.473684 0.210526 -0.0124593 0.00560825
0.526316 0.210526 -0.0139411 0.00685306
0.578947 0.210526 -0.0154474 0.00819006
0.631579 0.210526 -0.0169281 0.0095897
0.684211 0.210526 -0.0183062 0.0109891
