1.03501 1.03503 1.03511 1.03523 1.03541 1.03564 1.03592 1.03624 1.03662 1.03705 1.06291 1.06344 1.06402 1.06465 1.06534 1.06608 1.06686 1.0677 1.06859 1.06954 1.07403 1.07508 1.07618 1.07733 1.07853 1.07979 1.0811 1.08246 1.08388 1.08535 1.0812 1.08278 1.08441 1.0861 1.08784 1.08963 1.09149 1.09339 1.09535 1.09737 1.09101 1.09314 1.09533 1.09758 1.09988 1.10225 1.10467 1.10715 1.10969 1.11229 1.09924 1.10196 1.10475 1.10759 1.11049 1.11346 1.11649 1.11958 1.12274 1.12596 1.1096 1.11295 1.11637 1.11986 1.12341 1.12702 1.13071 1.13447 1.13829 1.14219 1.1228 1.12684 1.13095 1.13513 1.13938 1.14371 1.14812 1.15259 1.15715 1.16178 1.13937 1.14415 1.14902 1.15397 1.159 1.16411 1.1693 1.17458 1.17994 1.18539 1.15983 1.16545 1.17116 1.17696 1.18285 1.18883 1.1949 1.20107 1.20733 1.21368 1.18484 1.19139 1.19804 1.20479 1.21164 1.21859 1.22565 1.23281 1.24008 1.24746 1.21521 1.22281 1.23052 1.23834 1.24628 1.25433 1.2625 1.27079 1.2792 1.28773 1.25206 1.26084 1.26975 1.27879 1.28796 1.29726 1.30669 1.31626 1.32597 1.33581 1.29694 1.30708 1.31735 1.32778 1.33835 1.34908 1.35996 1.37099 1.38219 1.39354 1.35205 1.36373 1.37558 1.38759 1.39978 1.41215 1.42469 1.43741 1.45032 1.4634 1.42226 1.43573 1.44939 1.46325 1.4773 1.49156 1.50602 1.52069 1.53557 1.55067 1.52586 1.5414 1.55716 1.57314 1.58936 1.60582 1.62251 1.63944 1.65662 1.67405 1.6511 1.66904 1.68725 1.70571 1.72445 1.74347 1.76276 1.78234 1.8022 1.82235 1.83756 1.85832 1.87938 1.90075 1.92244 1.94445 1.96679 1.98946 2.01247 2.03582 2.19334 2.21739 2.24181 2.26659 2.29175 2.31728 2.3432 2.36951 2.39622 2.42334 
1.03498 1.03501 1.03508 1.03521 1.03539 1.03561 1.03589 1.03622 1.0366 1.03703 1.06288 1.06341 1.064 1.06463 1.06531 1.06605 1.06684 1.06768 1.06857 1.06951 1.07401 1.07506 1.07615 1.0773 1.07851 1.07976 1.08107 1.08244 1.08385 1.08532 1.08118 1.08276 1.08439 1.08607 1.08781 1.08961 1.09146 1.09337 1.09533 1.09735 1.09099 1.09312 1.09531 1.09755 1.09986 1.10222 1.10464 1.10712 1.10966 1.11226 1.09922 1.10194 1.10472 1.10756 1.11047 1.11343 1.11646 1.11955 1.12271 1.12593 1.10958 1.11293 1.11634 1.11983 1.12338 1.127 1.13068 1.13444 1.13826 1.14216 1.12277 1.12681 1.13092 1.1351 1.13935 1.14368 1.14809 1.15257 1.15712 1.16175 1.13934 1.14412 1.14899 1.15394 1.15897 1.16408 1.16927 1.17455 1.17991 1.18536 1.1598 1.16542 1.17113 1.17693 1.18282 1.1888 1.19487 1.20103 1.20729 1.21365 1.18481 1.19136 1.19801 1.20476 1.21161 1.21856 1.22562 1.23278 1.24005 1.24743 1.21518 1.22278 1.23048 1.23831 1.24624 1.25429 1.26246 1.27075 1.27916 1.28769 1.25202 1.26081 1.26971 1.27875 1.28792 1.29722 1.30665 1.31622 1.32593 1.33578 1.2969 1.30704 1.31731 1.32774 1.33831 1.34904 1.35992 1.37095 1.38215 1.3935 1.352 1.36369 1.37553 1.38755 1.39974 1.41211 1.42465 1.43737 1.45027 1.46336 1.42222 1.43569 1.44935 1.4632 1.47726 1.49151 1.50598 1.52065 1.53553 1.55062 1.52581 1.54135 1.55711 1.57309 1.58931 1.60577 1.62246 1.63939 1.65657 1.674 1.65105 1.66899 1.68719 1.70566 1.7244 1.74341 1.7627 1.78228 1.80214 1.8223 1.83751 1.85826 1.87932 1.90069 1.92238 1.94439 1.96673 1.9894 2.01241 2.03576 2.19327 2.21733 2.24174 2.26653 2.29168 2.31722 2.34313 2.36944 2.39615 2.42327 
1.03491 1.03493 1.03501 1.03513 1.03531 1.03554 1.03581 1.03614 1.03652 1.03695 1.06281 1.06334 1.06392 1.06455 1.06524 1.06597 1.06676 1.0676 1.06849 1.06943 1.07393 1.07498 1.07608 1.07723 1.07843 1.07969 1.081 1.08236 1.08377 1.08524 1.0811 1.08268 1.08431 1.086 1.08774 1.08953 1.09138 1.09329 1.09525 1.09727 1.09091 1.09304 1.09523 1.09747 1.09978 1.10214 1.10456 1.10704 1.10958 1.11218 1.09914 1.10186 1.10464 1.10748 1.11038 1.11335 1.11638 1.11947 1.12263 1.12585 1.10949 1.11284 1.11626 1.11974 1.12329 1.12691 1.1306 1.13435 1.13818 1.14207 1.12269 1.12672 1.13083 1.13501 1.13927 1.1436 1.148 1.15248 1.15703 1.16166 1.13925 1.14404 1.1489 1.15385 1.15888 1.16399 1.16918 1.17446 1.17982 1.18527 1.15971 1.16533 1.17104 1.17683 1.18272 1.1887 1.19477 1.20094 1.2072 1.21355 1.18471 1.19126 1.19791 1.20466 1.21151 1.21846 1.22552 1.23268 1.23995 1.24732 1.21508 1.22267 1.23038 1.2382 1.24614 1.25419 1.26236 1.27064 1.27905 1.28758 1.25192 1.2607 1.2696 1.27864 1.28781 1.29711 1.30654 1.31611 1.32581 1.33566 1.29679 1.30692 1.3172 1.32762 1.33819 1.34892 1.3598 1.37083 1.38202 1.39338 1.35188 1.36356 1.37541 1.38742 1.39961 1.41198 1.42452 1.43724 1.45014 1.46323 1.42209 1.43555 1.44921 1.46307 1.47712 1.49137 1.50584 1.5205 1.53538 1.55048 1.52567 1.5412 1.55696 1.57295 1.58916 1.60561 1.6223 1.63924 1.65642 1.67384 1.65089 1.66883 1.68703 1.7055 1.72424 1.74325 1.76254 1.78211 1.80197 1.82213 1.83734 1.85809 1.87915 1.90052 1.9222 1.94421 1.96655 1.98922 2.01222 2.03557 2.19309 2.21714 2.24155 2.26633 2.29149 2.31702 2.34293 2.36924 2.39595 2.42306 
1.03478 1.0348 1.03488 1.03501 1.03518 1.03541 1.03569 1.03602 1.0364 1.03683 1.06268 1.06321 1.06379 1.06443 1.06511 1.06585 1.06663 1.06747 1.06836 1.06931 1.07381 1.07485 1.07595 1.0771 1.0783 1.07956 1.08087 1.08223 1.08365 1.08511 1.08097 1.08255 1.08418 1.08587 1.08761 1.0894 1.09125 1.09316 1.09512 1.09714 1.09078 1.09291 1.0951 1.09734 1.09965 1.10201 1.10443 1.10691 1.10945 1.11205 1.099 1.10172 1.1045 1.10734 1.11025 1.11321 1.11624 1.11934 1.12249 1.12571 1.10935 1.1127 1.11612 1.1196 1.12315 1.12677 1.13046 1.13421 1.13804 1.14193 1.12255 1.12658 1.13069 1.13487 1.13912 1.14345 1.14785 1.15233 1.15688 1.16152 1.1391 1.14389 1.14875 1.1537 1.15873 1.16384 1.16903 1.17431 1.17967 1.18511 1.15955 1.16517 1.17088 1.17668 1.18256 1.18854 1.19461 1.20078 1.20704 1.21339 1.18455 1.1911 1.19775 1.20449 1.21134 1.21829 1.22535 1.23251 1.23978 1.24715 1.21491 1.2225 1.23021 1.23803 1.24596 1.25401 1.26218 1.27047 1.27887 1.2874 1.25173 1.26051 1.26942 1.27845 1.28762 1.29692 1.30635 1.31592 1.32562 1.33547 1.2966 1.30672 1.317 1.32742 1.338 1.34872 1.3596 1.37063 1.38182 1.39317 1.35167 1.36335 1.3752 1.38721 1.3994 1.41176 1.4243 1.43702 1.44992 1.46301 1.42186 1.43533 1.44898 1.46284 1.47689 1.49114 1.5056 1.52027 1.53515 1.55024 1.52543 1.54096 1.55672 1.5727 1.58891 1.60536 1.62205 1.63898 1.65616 1.67358 1.65063 1.66857 1.68677 1.70523 1.72397 1.74297 1.76226 1.78183 1.80169 1.82184 1.83705 1.8578 1.87886 1.90022 1.92191 1.94391 1.96625 1.98891 2.01191 2.03526 2.19277 2.21682 2.24123 2.26601 2.29116 2.31669 2.3426 2.36891 2.39561 2.42272 
1.0346 1.03463 1.0347 1.03483 1.03501 1.03523 1.03551 1.03584 1.03622 1.03665 1.0625 1.06303 1.06362 1.06425 1.06493 1.06567 1.06646 1.0673 1.06819 1.06913 1.07363 1.07467 1.07577 1.07692 1.07812 1.07938 1.08069 1.08205 1.08347 1.08493 1.08079 1.08237 1.084 1.08568 1.08742 1.08922 1.09107 1.09297 1.09494 1.09695 1.09059 1.09272 1.09491 1.09716 1.09946 1.10182 1.10424 1.10672 1.10926 1.11186 1.09881 1.10153 1.10431 1.10715 1.11006 1.11302 1.11605 1.11914 1.1223 1.12552 1.10916 1.11251 1.11593 1.11941 1.12296 1.12657 1.13026 1.13401 1.13784 1.14173 1.12235 1.12638 1.13049 1.13467 1.13892 1.14325 1.14765 1.15213 1.15668 1.16131 1.13889 1.14368 1.14854 1.15349 1.15852 1.16363 1.16882 1.17409 1.17945 1.1849 1.15934 1.16496 1.17066 1.17646 1.18234 1.18832 1.19439 1.20055 1.20681 1.21317 1.18432 1.19087 1.19752 1.20426 1.21111 1.21806 1.22512 1.23228 1.23954 1.24692 1.21467 1.22226 1.22996 1.23778 1.24572 1.25376 1.26193 1.27022 1.27862 1.28715 1.25148 1.26026 1.26916 1.2782 1.28736 1.29666 1.30609 1.31565 1.32536 1.3352 1.29632 1.30645 1.31673 1.32715 1.33772 1.34844 1.35931 1.37035 1.38153 1.39288 1.35138 1.36306 1.3749 1.38692 1.3991 1.41146 1.424 1.43671 1.44961 1.4627 1.42155 1.43501 1.44867 1.46252 1.47657 1.49082 1.50528 1.51994 1.53482 1.54991 1.52509 1.54062 1.55637 1.57235 1.58857 1.60501 1.6217 1.63862 1.6558 1.67322 1.65026 1.6682 1.68639 1.70485 1.72359 1.74259 1.76188 1.78144 1.8013 1.82145 1.83665 1.8574 1.87845 1.89981 1.92149 1.94349 1.96582 1.98848 2.01148 2.03482 2.19233 2.21638 2.24078 2.26556 2.2907 2.31623 2.34213 2.36844 2.39513 2.42224 
1.03438 1.0344 1.03448 1.0346 1.03478 1.03501 1.03528 1.03561 1.03599 1.03642 1.06227 1.06281 1.06339 1.06402 1.06471 1.06544 1.06623 1.06707 1.06796 1.0689 1.0734 1.07444 1.07554 1.07669 1.07789 1.07915 1.08046 1.08182 1.08323 1.0847 1.08056 1.08214 1.08377 1.08545 1.08719 1.08898 1.09083 1.09274 1.0947 1.09672 1.09036 1.09249 1.09467 1.09692 1.09922 1.10158 1.104 1.10648 1.10902 1.11162 1.09857 1.10129 1.10407 1.10691 1.10981 1.11278 1.11581 1.1189 1.12205 1.12527 1.10891 1.11226 1.11568 1.11916 1.12271 1.12632 1.13001 1.13376 1.13758 1.14147 1.12209 1.12612 1.13023 1.13441 1.13866 1.14298 1.14739 1.15186 1.15641 1.16104 1.13862 1.14341 1.14827 1.15322 1.15825 1.16335 1.16854 1.17382 1.17917 1.18462 1.15906 1.16468 1.17038 1.17618 1.18206 1.18804 1.1941 1.20027 1.20652 1.21287 1.18403 1.19058 1.19722 1.20397 1.21081 1.21776 1.22481 1.23197 1.23924 1.24661 1.21436 1.22195 1.22965 1.23747 1.2454 1.25345 1.26161 1.2699 1.2783 1.28683 1.25115 1.25993 1.26883 1.27786 1.28702 1.29632 1.30575 1.31531 1.32501 1.33485 1.29598 1.3061 1.31637 1.32679 1.33736 1.34808 1.35895 1.36998 1.38117 1.39251 1.35101 1.36268 1.37453 1.38654 1.39872 1.41108 1.42361 1.43632 1.44922 1.4623 1.42115 1.43461 1.44826 1.46211 1.47615 1.4904 1.50486 1.51952 1.53439 1.54948 1.52466 1.54018 1.55593 1.57191 1.58812 1.60456 1.62124 1.63817 1.65533 1.67275 1.64979 1.66772 1.68591 1.70437 1.7231 1.7421 1.76138 1.78094 1.80079 1.82094 1.83613 1.85688 1.87792 1.89928 1.92096 1.94295 1.96528 1.98793 2.01093 2.03426 2.19177 2.21581 2.24021 2.26497 2.29011 2.31563 2.34154 2.36783 2.39452 2.42162 
1.0341 1.03412 1.0342 1.03432 1.0345 1.03473 1.03501 1.03533 1.03571 1.03614 1.062 1.06253 1.06311 1.06374 1.06443 1.06516 1.06595 1.06679 1.06768 1.06862 1.07312 1.07416 1.07526 1.07641 1.07761 1.07887 1.08018 1.08154 1.08295 1.08442 1.08028 1.08185 1.08348 1.08516 1.0869 1.0887 1.09055 1.09245 1.09441 1.09643 1.09007 1.0922 1.09438 1.09663 1.09893 1.10129 1.10371 1.10619 1.10873 1.11132 1.09828 1.10099 1.10377 1.10661 1.10951 1.11248 1.11551 1.1186 1.12175 1.12497 1.10861 1.11196 1.11537 1.11885 1.1224 1.12601 1.1297 1.13345 1.13727 1.14116 1.12177 1.12581 1.12991 1.13409 1.13834 1.14266 1.14706 1.15154 1.15609 1.16072 1.1383 1.14308 1.14795 1.15289 1.15791 1.16302 1.16821 1.17348 1.17884 1.18428 1.15872 1.16433 1.17004 1.17583 1.18171 1.18769 1.19375 1.19991 1.20617 1.21252 1.18367 1.19022 1.19686 1.2036 1.21045 1.21739 1.22445 1.2316 1.23886 1.24623 1.21398 1.22157 1.22927 1.23709 1.24501 1.25306 1.26122 1.2695 1.27791 1.28643 1.25075 1.25953 1.26843 1.27746 1.28662 1.29591 1.30533 1.31489 1.32459 1.33443 1.29555 1.30567 1.31594 1.32636 1.33692 1.34764 1.35851 1.36953 1.38072 1.39206 1.35056 1.36223 1.37406 1.38607 1.39825 1.4106 1.42313 1.43584 1.44874 1.46181 1.42066 1.43412 1.44776 1.46161 1.47565 1.48989 1.50434 1.519 1.53387 1.54895 1.52413 1.53965 1.55539 1.57137 1.58757 1.60401 1.62069 1.6376 1.65477 1.67218 1.64922 1.66714 1.68533 1.70378 1.7225 1.7415 1.76077 1.78033 1.80018 1.82031 1.83551 1.85624 1.87728 1.89864 1.9203 1.9423 1.96461 1.98726 2.01025 2.03358 2.19108 2.21511 2.2395 2.26426 2.2894 2.31491 2.3408 2.36709 2.39378 2.42087 
1.03377 1.03379 1.03387 1.034 1.03417 1.0344 1.03468 1.03501 1.03539 1.03581 1.06167 1.0622 1.06278 1.06341 1.0641 1.06483 1.06562 1.06646 1.06735 1.06829 1.07279 1.07383 1.07493 1.07608 1.07728 1.07853 1.07984 1.0812 1.08262 1.08408 1.07994 1.08151 1.08314 1.08483 1.08657 1.08836 1.09021 1.09211 1.09407 1.09609 1.08972 1.09185 1.09404 1.09628 1.09859 1.10095 1.10336 1.10584 1.10838 1.11097 1.09793 1.10064 1.10342 1.10626 1.10916 1.11212 1.11515 1.11824 1.12139 1.12461 1.10825 1.1116 1.11501 1.11849 1.12203 1.12565 1.12933 1.13308 1.1369 1.14079 1.1214 1.12543 1.12954 1.13371 1.13796 1.14229 1.14668 1.15116 1.15571 1.16033 1.13791 1.1427 1.14756 1.1525 1.15752 1.16263 1.16781 1.17308 1.17844 1.18388 1.15832 1.16393 1.16963 1.17542 1.1813 1.18728 1.19334 1.1995 1.20575 1.2121 1.18325 1.18979 1.19643 1.20317 1.21002 1.21696 1.22401 1.23116 1.23842 1.24579 1.21354 1.22112 1.22882 1.23663 1.24456 1.2526 1.26076 1.26904 1.27744 1.28596 1.25028 1.25905 1.26795 1.27698 1.28613 1.29542 1.30484 1.3144 1.3241 1.33393 1.29505 1.30517 1.31543 1.32585 1.33641 1.34712 1.35799 1.36901 1.38019 1.39153 1.35002 1.36168 1.37352 1.38552 1.3977 1.41005 1.42257 1.43528 1.44817 1.46124 1.42008 1.43353 1.44718 1.46101 1.47505 1.48929 1.50374 1.51839 1.53325 1.54833 1.5235 1.53902 1.55476 1.57072 1.58692 1.60336 1.62003 1.63694 1.6541 1.67151 1.64854 1.66645 1.68464 1.70308 1.7218 1.74079 1.76006 1.77961 1.79945 1.81958 1.83476 1.85549 1.87653 1.89787 1.91953 1.94152 1.96383 1.98647 2.00945 2.03277 2.19026 2.21429 2.23867 2.26342 2.28855 2.31405 2.33994 2.36622 2.39289 2.41997 
1.03339 1.03342 1.03349 1.03362 1.03379 1.03402 1.0343 1.03463 1.03501 1.03544 1.06129 1.06182 1.0624 1.06303 1.06372 1.06445 1.06524 1.06608 1.06696 1.06791 1.0724 1.07345 1.07454 1.07569 1.0769 1.07815 1.07946 1.08082 1.08223 1.0837 1.07955 1.08113 1.08276 1.08444 1.08618 1.08797 1.08982 1.09172 1.09368 1.0957 1.08933 1.09146 1.09365 1.09589 1.09819 1.10055 1.10296 1.10544 1.10798 1.11057 1.09752 1.10024 1.10302 1.10585 1.10875 1.11172 1.11474 1.11783 1.12098 1.1242 1.10783 1.11118 1.11459 1.11807 1.12162 1.12523 1.12891 1.13266 1.13648 1.14036 1.12097 1.125 1.12911 1.13328 1.13753 1.14185 1.14625 1.15072 1.15527 1.15989 1.13747 1.14225 1.14711 1.15205 1.15707 1.16217 1.16736 1.17263 1.17798 1.18342 1.15785 1.16346 1.16916 1.17495 1.18083 1.1868 1.19286 1.19902 1.20527 1.21161 1.18276 1.1893 1.19594 1.20268 1.20952 1.21646 1.22351 1.23066 1.23792 1.24528 1.21302 1.22061 1.2283 1.23611 1.24403 1.25207 1.26023 1.26851 1.2769 1.28542 1.24974 1.2585 1.2674 1.27642 1.28557 1.29486 1.30428 1.31383 1.32352 1.33336 1.29447 1.30458 1.31485 1.32525 1.33581 1.34652 1.35738 1.3684 1.37958 1.39091 1.3494 1.36106 1.37289 1.38489 1.39706 1.4094 1.42192 1.43462 1.44751 1.46058 1.41941 1.43286 1.4465 1.46033 1.47436 1.4886 1.50304 1.51768 1.53254 1.54761 1.52278 1.53829 1.55402 1.56998 1.58618 1.6026 1.61927 1.63618 1.65333 1.67073 1.64775 1.66566 1.68384 1.70228 1.72099 1.73997 1.75923 1.77877 1.7986 1.81873 1.83391 1.85463 1.87565 1.89699 1.91864 1.94062 1.96292 1.98556 2.00853 2.03184 2.18932 2.21334 2.23771 2.26246 2.28757 2.31306 2.33894 2.36521 2.39188 2.41895 
1.03296 1.03299 1.03306 1.03319 1.03337 1.03359 1.03387 1.0342 1.03458 1.03501 1.06086 1.06139 1.06197 1.0626 1.06329 1.06402 1.06481 1.06564 1.06653 1.06747 1.07197 1.07301 1.07411 1.07526 1.07646 1.07771 1.07902 1.08038 1.08179 1.08326 1.07911 1.08069 1.08232 1.084 1.08574 1.08753 1.08937 1.09128 1.09324 1.09525 1.08888 1.09101 1.0932 1.09544 1.09774 1.1001 1.10251 1.10499 1.10752 1.11012 1.09707 1.09978 1.10256 1.10539 1.10829 1.11125 1.11428 1.11736 1.12051 1.12373 1.10737 1.11071 1.11412 1.1176 1.12114 1.12475 1.12843 1.13218 1.13599 1.13988 1.12049 1.12452 1.12862 1.13279 1.13704 1.14136 1.14575 1.15022 1.15477 1.15939 1.13696 1.14174 1.1466 1.15154 1.15656 1.16166 1.16684 1.17211 1.17746 1.18289 1.15733 1.16293 1.16863 1.17442 1.18029 1.18626 1.19232 1.19848 1.20472 1.21107 1.18221 1.18875 1.19538 1.20212 1.20896 1.2159 1.22294 1.23009 1.23734 1.2447 1.21244 1.22002 1.22771 1.23552 1.24344 1.25147 1.25963 1.2679 1.27629 1.28481 1.24912 1.25788 1.26677 1.27579 1.28494 1.29422 1.30364 1.31319 1.32288 1.3327 1.29381 1.30392 1.31418 1.32458 1.33514 1.34584 1.3567 1.36771 1.37888 1.39021 1.34869 1.36035 1.37218 1.38417 1.39633 1.40867 1.42119 1.43389 1.44676 1.45982 1.41866 1.4321 1.44573 1.45956 1.47358 1.48781 1.50224 1.51689 1.53174 1.5468 1.52196 1.53746 1.55319 1.56915 1.58533 1.60175 1.61841 1.63531 1.65245 1.66985 1.64686 1.66477 1.68293 1.70136 1.72006 1.73904 1.75829 1.77783 1.79765 1.81776 1.83293 1.85365 1.87466 1.89599 1.91764 1.9396 1.96189 1.98452 2.00748 2.03078 2.18825 2.21226 2.23663 2.26136 2.28646 2.31194 2.33781 2.36407 2.39072 2.41778 
